BUYER_STATE,BUYER_COUNTY,MONTH,MME
CA,SUTTER,8,42019.079999999136
CA,SUTTER,9,40267.02999999956
CA,SUTTER,10,42613.699999999466
CA,SUTTER,11,41542.249999999345
CA,SUTTER,12,43635.60999999946
CA,TEHAMA,1,19507.600000000053
CA,TEHAMA,2,18097.66000000012
CA,TEHAMA,3,21102.990000000016
CA,TEHAMA,4,19431.37000000008
CA,TEHAMA,5,20128.130000000074
CA,TEHAMA,6,19484.800000000138
CA,TEHAMA,7,21062.93000000001
CA,TEHAMA,8,19791.250000000047
CA,TEHAMA,9,20128.880000000067
CA,TEHAMA,10,20527.339999999982
CA,TEHAMA,11,20530.799999999974
CA,TEHAMA,12,22049.80999999996
CA,TRINITY,1,4349.11000000002
CA,TRINITY,2,4032.1000000000254
CA,TRINITY,3,4482.930000000019
CA,TRINITY,4,4140.250000000028
CA,TRINITY,5,4605.560000000015
CA,TRINITY,6,4627.580000000021
CA,TRINITY,7,4444.830000000024
CA,TRINITY,8,4823.350000000023
CA,TRINITY,9,4466.700000000021
CA,TRINITY,10,4510.7400000000225
CA,TRINITY,11,4551.690000000023
CA,TRINITY,12,4525.4900000000225
CA,TULARE,1,63366.19999999859
CA,TULARE,2,63349.88999999862
CA,TULARE,3,71529.78999999886
CA,TULARE,4,66940.67999999887
CA,TULARE,5,69342.93999999878
CA,TULARE,6,70043.53999999899
CA,TULARE,7,70720.60999999907
CA,TULARE,8,71482.40999999898
CA,TULARE,9,68687.3599999989
CA,TULARE,10,73531.95999999873
CA,TULARE,11,68729.90999999881
CA,TULARE,12,76545.9399999994
CA,TUOLUMNE,1,27595.79999999954
CA,TUOLUMNE,2,25541.03999999965
CA,TUOLUMNE,3,28674.539999999422
CA,TUOLUMNE,4,27360.809999999557
CA,TUOLUMNE,5,26084.53999999957
CA,TUOLUMNE,6,28767.409999999472
CA,TUOLUMNE,7,27750.939999999573
CA,TUOLUMNE,8,27064.69999999946
CA,TUOLUMNE,9,26692.149999999703
CA,TUOLUMNE,10,29561.229999999472
CA,TUOLUMNE,11,26677.169999999674
CA,TUOLUMNE,12,27500.479999999476
CA,VENTURA,1,115616.18000000095
CA,VENTURA,2,109426.85000000118
CA,VENTURA,3,123435.95000000208
CA,VENTURA,4,114945.1500000011
CA,VENTURA,5,119589.59000000157
CA,VENTURA,6,123173.99000000226
CA,VENTURA,7,120579.74000000206
