BUYER_STATE,BUYER_COUNTY,MONTH,MME
AR,DESHA,12,1782.6499999999958
AR,DREW,1,2759.720000000014
AR,DREW,2,2399.200000000006
AR,DREW,3,2649.650000000015
AR,DREW,4,2723.71000000002
AR,DREW,5,2835.4200000000146
AR,DREW,6,2802.190000000021
AR,DREW,7,2721.64000000002
AR,DREW,8,2880.530000000019
AR,DREW,9,2461.080000000011
AR,DREW,10,2942.780000000025
AR,DREW,11,2791.0100000000143
AR,DREW,12,2817.9100000000203
AR,FAULKNER,1,15615.710000000596
AR,FAULKNER,2,14266.150000000516
AR,FAULKNER,3,16702.540000000594
AR,FAULKNER,4,16234.020000000684
AR,FAULKNER,5,16331.420000000693
AR,FAULKNER,6,17142.04000000059
AR,FAULKNER,7,17140.330000000555
AR,FAULKNER,8,17447.360000000484
AR,FAULKNER,9,16882.600000000533
AR,FAULKNER,10,18334.27000000042
AR,FAULKNER,11,16904.8100000006
AR,FAULKNER,12,18762.480000000327
AR,FRANKLIN,1,4269.920000000036
AR,FRANKLIN,2,3986.1300000000315
AR,FRANKLIN,3,4339.300000000027
AR,FRANKLIN,4,5016.040000000032
AR,FRANKLIN,5,4886.03000000003
AR,FRANKLIN,6,4920.590000000037
AR,FRANKLIN,7,4637.6400000000285
AR,FRANKLIN,8,4534.340000000043
AR,FRANKLIN,9,4437.080000000042
AR,FRANKLIN,10,5157.940000000031
AR,FRANKLIN,11,4640.510000000029
AR,FRANKLIN,12,4863.580000000028
AR,FULTON,1,5276.130000000021
AR,FULTON,2,4753.380000000028
AR,FULTON,3,5255.550000000026
AR,FULTON,4,5432.260000000017
AR,FULTON,5,5157.080000000021
AR,FULTON,6,5122.860000000037
AR,FULTON,7,4789.97000000003
AR,FULTON,8,4760.5500000000175
AR,FULTON,9,5014.370000000022
AR,FULTON,10,5168.510000000022
AR,FULTON,11,4688.250000000027
AR,FULTON,12,4861.770000000036
AR,GARLAND,1,25805.459999999708
AR,GARLAND,2,24080.529999999926
AR,GARLAND,3,26383.779999999813
AR,GARLAND,4,25863.969999999714
AR,GARLAND,5,26791.689999999653
AR,GARLAND,6,26677.019999999637
AR,GARLAND,7,26875.659999999516
AR,GARLAND,8,27788.729999999734
AR,GARLAND,9,26527.049999999672
AR,GARLAND,10,28066.449999999688
AR,GARLAND,11,26843.46999999967
AR,GARLAND,12,27922.53999999975
AR,GRANT,1,2503.660000000002
AR,GRANT,2,2345.690000000004
AR,GRANT,3,2675.750000000014
AR,GRANT,4,2404.3000000000093
AR,GRANT,5,2621.7900000000086
AR,GRANT,6,2521.230000000005
AR,GRANT,7,2677.6200000000085
AR,GRANT,8,2622.7700000000086
AR,GRANT,9,2967.2700000000145
AR,GRANT,10,2761.2000000000116
AR,GRANT,11,2712.6400000000112
AR,GRANT,12,3213.8800000000233
AR,GREENE,1,10217.450000000192
AR,GREENE,2,9599.830000000089
AR,GREENE,3,10624.760000000182
AR,GREENE,4,10447.630000000216
AR,GREENE,5,10229.520000000179
AR,GREENE,6,10940.650000000234
AR,GREENE,7,11362.520000000208
AR,GREENE,8,10699.9600000002
AR,GREENE,9,10990.970000000232
AR,GREENE,10,10677.35000000019
AR,GREENE,11,9949.42000000016
AR,GREENE,12,10978.2200000002
AR,HEMPSTEAD,1,3877.0300000000357
AR,HEMPSTEAD,2,3534.390000000034
AR,HEMPSTEAD,3,4096.980000000036
AR,HEMPSTEAD,4,3932.700000000043
AR,HEMPSTEAD,5,3875.0500000000443
AR,HEMPSTEAD,6,3924.2700000000395
AR,HEMPSTEAD,7,4026.8300000000518
AR,HEMPSTEAD,8,4200.040000000044
AR,HEMPSTEAD,9,3917.1700000000415
AR,HEMPSTEAD,10,4166.600000000036
AR,HEMPSTEAD,11,4230.22000000004
AR,HEMPSTEAD,12,4272.4200000000355
AR,HOT SPRING,1,4076.2100000000596
AR,HOT SPRING,2,3543.930000000041
AR,HOT SPRING,3,4041.5800000000777
AR,HOT SPRING,4,4100.640000000074
AR,HOT SPRING,5,4176.680000000072
AR,HOT SPRING,6,4192.040000000076
AR,HOT SPRING,7,4156.850000000068
AR,HOT SPRING,8,4463.000000000068
AR,HOT SPRING,9,4053.4600000000682
AR,HOT SPRING,10,4618.400000000058
AR,HOT SPRING,11,4366.660000000061
AR,HOT SPRING,12,4479.430000000057
AR,HOWARD,1,2269.2999999999984
AR,HOWARD,2,2104.669999999998
AR,HOWARD,3,2260.800000000002
AR,HOWARD,4,2280.17
AR,HOWARD,5,2362.640000000007
AR,HOWARD,6,2378.580000000004
AR,HOWARD,7,2383.7100000000037
AR,HOWARD,8,2503.2000000000075
AR,HOWARD,9,2442.450000000007
AR,HOWARD,10,2562.3000000000065
AR,HOWARD,11,2403.2200000000103
AR,HOWARD,12,2395.560000000004
AR,INDEPENDENCE,1,8497.400000000041
AR,INDEPENDENCE,2,7936.310000000021
AR,INDEPENDENCE,3,9098.210000000094
AR,INDEPENDENCE,4,9284.810000000136
AR,INDEPENDENCE,5,9045.21000000013
AR,INDEPENDENCE,6,9236.730000000161
AR,INDEPENDENCE,7,9147.180000000113
AR,INDEPENDENCE,8,9264.270000000142
AR,INDEPENDENCE,9,8637.040000000075
AR,INDEPENDENCE,10,9505.070000000149
AR,INDEPENDENCE,11,9290.540000000134
AR,INDEPENDENCE,12,9607.070000000123
AR,IZARD,1,8460.820000000032
AR,IZARD,2,8975.420000000031
AR,IZARD,3,10191.680000000055
AR,IZARD,4,11243.090000000075
AR,IZARD,5,10091.390000000072
AR,IZARD,6,8336.700000000026
AR,IZARD,7,9847.510000000062
AR,IZARD,8,9571.830000000053
AR,IZARD,9,9149.400000000056
AR,IZARD,10,9540.80000000008
AR,IZARD,11,9802.340000000031
AR,IZARD,12,9467.10000000004
AR,JACKSON,1,2754.7800000000143
AR,JACKSON,2,2615.6800000000094
AR,JACKSON,3,2880.110000000024
AR,JACKSON,4,2899.6100000000174
AR,JACKSON,5,2943.490000000022
AR,JACKSON,6,2884.900000000019
AR,JACKSON,7,2970.1800000000226
AR,JACKSON,8,2985.600000000016
AR,JACKSON,9,2852.9900000000207
AR,JACKSON,10,3276.0200000000323
AR,JACKSON,11,2983.0500000000216
AR,JACKSON,12,3058.8200000000193
AR,JEFFERSON,1,6666.569999999936
AR,JEFFERSON,2,6391.609999999973
AR,JEFFERSON,3,7305.779999999941
AR,JEFFERSON,4,7415.739999999949
AR,JEFFERSON,5,7715.62999999994
AR,JEFFERSON,6,7615.76999999993
AR,JEFFERSON,7,7590.3599999999615
AR,JEFFERSON,8,7830.579999999955
AR,JEFFERSON,9,7549.3599999999715
AR,JEFFERSON,10,7850.539999999921
AR,JEFFERSON,11,7767.959999999947
AR,JEFFERSON,12,8062.569999999917
AR,JOHNSON,1,4779.860000000046
AR,JOHNSON,2,4413.840000000037
AR,JOHNSON,3,4992.330000000033
AR,JOHNSON,4,5130.490000000028
AR,JOHNSON,5,4764.05000000004
AR,JOHNSON,6,4923.640000000033
AR,JOHNSON,7,5252.060000000035
AR,JOHNSON,8,5324.63000000002
AR,JOHNSON,9,5056.710000000037
AR,JOHNSON,10,5293.240000000026
AR,JOHNSON,11,5000.490000000037
AR,JOHNSON,12,5574.490000000018
AR,LAFAYETTE,1,867.5800000000016
AR,LAFAYETTE,2,737.4000000000005
AR,LAFAYETTE,3,762.0400000000017
AR,LAFAYETTE,4,814.5399999999993
AR,LAFAYETTE,5,797.2000000000007
AR,LAFAYETTE,6,853.8800000000009
AR,LAFAYETTE,7,874.5399999999997
AR,LAFAYETTE,8,855.5300000000011
AR,LAFAYETTE,9,957.1800000000002
AR,LAFAYETTE,10,793.91
AR,LAFAYETTE,11,821.0399999999996
AR,LAFAYETTE,12,759.56
AR,LAWRENCE,1,3302.0600000000313
AR,LAWRENCE,2,3074.0500000000343
AR,LAWRENCE,3,3173.8400000000297
AR,LAWRENCE,4,3396.1200000000363
AR,LAWRENCE,5,3357.640000000037
AR,LAWRENCE,6,3552.680000000037
AR,LAWRENCE,7,3216.4100000000326
AR,LAWRENCE,8,3312.0300000000366
AR,LAWRENCE,9,3340.430000000029
AR,LAWRENCE,10,3704.2700000000527
AR,LAWRENCE,11,3280.4300000000294
AR,LAWRENCE,12,3517.0000000000437
AR,LEE,1,645.0400000000011
AR,LEE,2,726.0000000000005
AR,LEE,3,697.1900000000006
AR,LEE,4,545.3500000000014
AR,LEE,5,686.2400000000014
AR,LEE,6,822.090000000002
AR,LEE,7,722.4000000000013
AR,LEE,8,775.8000000000018
AR,LEE,9,676.7000000000019
AR,LEE,10,806.0700000000019
AR,LEE,11,686.9600000000005
AR,LEE,12,668.730000000002
AR,LINCOLN,1,673.4700000000012
AR,LINCOLN,2,641.2600000000004
AR,LINCOLN,3,671.1000000000015
AR,LINCOLN,4,714.4100000000011
AR,LINCOLN,5,743.0500000000025
AR,LINCOLN,6,727.0400000000022
AR,LINCOLN,7,704.7400000000013
AR,LINCOLN,8,728.5000000000019
AR,LINCOLN,9,701.9900000000015
AR,LINCOLN,10,737.2200000000018
AR,LINCOLN,11,724.4100000000019
AR,LINCOLN,12,768.2600000000024
AR,LITTLE RIVER,1,2231.439999999994
AR,LITTLE RIVER,2,2227.829999999997
AR,LITTLE RIVER,3,2371.4300000000044
AR,LITTLE RIVER,4,2307.9600000000073
AR,LITTLE RIVER,5,2508.1200000000094
AR,LITTLE RIVER,6,2409.9300000000044
AR,LITTLE RIVER,7,2496.160000000013
AR,LITTLE RIVER,8,2486.0100000000107
AR,LITTLE RIVER,9,2373.020000000004
AR,LITTLE RIVER,10,2453.1000000000085
AR,LITTLE RIVER,11,2448.23000000001
AR,LITTLE RIVER,12,2561.950000000018
AR,LOGAN,1,5976.330000000021
AR,LOGAN,2,5162.150000000033
AR,LOGAN,3,6606.13000000002
AR,LOGAN,4,6112.250000000023
AR,LOGAN,5,6337.690000000014
AR,LOGAN,6,6622.70000000002
AR,LOGAN,7,6450.960000000023
AR,LOGAN,8,5697.780000000036
AR,LOGAN,9,5973.500000000017
AR,LOGAN,10,6526.130000000021
AR,LOGAN,11,6826.120000000023
AR,LOGAN,12,6240.760000000033
AR,LONOKE,1,12538.700000000314
AR,LONOKE,2,12211.040000000276
AR,LONOKE,3,13261.370000000312
AR,LONOKE,4,12256.3700000003
AR,LONOKE,5,13019.120000000328
AR,LONOKE,6,13375.900000000316
AR,LONOKE,7,13358.920000000326
AR,LONOKE,8,13466.860000000359
AR,LONOKE,9,13208.220000000325
AR,LONOKE,10,14200.48000000035
AR,LONOKE,11,13883.180000000368
AR,LONOKE,12,14199.410000000342
AR,MADISON,1,2265.539999999999
AR,MADISON,2,2152.99
AR,MADISON,3,2183.8000000000006
AR,MADISON,4,2531.520000000011
AR,MADISON,5,2442.120000000008
AR,MADISON,6,2381.540000000007
AR,MADISON,7,2336.7800000000075
AR,MADISON,8,2269.6600000000017
AR,MADISON,9,2476.2900000000077
AR,MADISON,10,2558.88000000001
AR,MADISON,11,2615.420000000006
AR,MADISON,12,2668.030000000015
AR,MARION,1,3140.8300000000254
AR,MARION,2,2632.1200000000104
AR,MARION,3,3054.3800000000274
AR,MARION,4,3177.8400000000292
AR,MARION,5,3111.660000000031
AR,MARION,6,3234.7700000000286
AR,MARION,7,3291.1900000000323
AR,MARION,8,3005.1700000000237
AR,MARION,9,3042.890000000029
AR,MARION,10,3130.400000000027
AR,MARION,11,3210.5800000000318
AR,MARION,12,3383.22000000003
AR,MILLER,1,9269.870000000035
AR,MILLER,2,8469.549999999985
AR,MILLER,3,10172.470000000085
AR,MILLER,4,10299.660000000107
AR,MILLER,5,9582.160000000056
AR,MILLER,6,9777.890000000085
AR,MILLER,7,10413.000000000098
AR,MILLER,8,10254.910000000107
AR,MILLER,9,10417.190000000095
AR,MILLER,10,10323.93000000008
AR,MILLER,11,9970.210000000085
AR,MILLER,12,11211.13000000017
AR,MISSISSIPPI,1,7343.799999999965
AR,MISSISSIPPI,2,7071.319999999961
AR,MISSISSIPPI,3,7897.929999999972
AR,MISSISSIPPI,4,7250.789999999991
AR,MISSISSIPPI,5,7721.819999999946
AR,MISSISSIPPI,6,7958.4999999999545
AR,MISSISSIPPI,7,7837.3599999999415
AR,MISSISSIPPI,8,8107.509999999943
AR,MISSISSIPPI,9,7354.099999999954
AR,MISSISSIPPI,10,8050.739999999953
AR,MISSISSIPPI,11,7462.72999999997
AR,MISSISSIPPI,12,8228.279999999995
AR,MONROE,1,814.3499999999995
AR,MONROE,2,806.9399999999997
AR,MONROE,3,985.2900000000006
AR,MONROE,4,951.1600000000007
AR,MONROE,5,997.9699999999997
AR,MONROE,6,1033.9700000000005
AR,MONROE,7,1031.9200000000005
AR,MONROE,8,991.420000000001
AR,MONROE,9,902.6800000000001
AR,MONROE,10,913.7200000000003
AR,MONROE,11,939.5900000000007
AR,MONROE,12,987.8199999999998
AR,MONTGOMERY,1,925.6299999999987
AR,MONTGOMERY,2,871.9099999999986
AR,MONTGOMERY,3,912.8999999999985
AR,MONTGOMERY,4,971.6099999999982
AR,MONTGOMERY,5,969.169999999999
AR,MONTGOMERY,6,1003.0299999999982
AR,MONTGOMERY,7,981.1899999999983
AR,MONTGOMERY,8,1047.3999999999985
AR,MONTGOMERY,9,885.1199999999984
AR,MONTGOMERY,10,1008.8799999999981
AR,MONTGOMERY,11,966.6899999999986
AR,MONTGOMERY,12,1164.7499999999982
