BUYER_STATE,BUYER_COUNTY,YEAR/MONTH,FULL_STATES,MME/CAP,checker,final_checker,PolicyState,Post
FL,HENDRY,2010,Florida,0.7056,7.0,7,True,True
FL,HENDRY,2011,Florida,0.6916,7.0,7,True,True
FL,HENDRY,2012,Florida,0.519,7.0,7,True,True
FL,HERNANDO,2006,Florida,0.4789,7.0,7,True,False
FL,HERNANDO,2007,Florida,0.6548,7.0,7,True,False
FL,HERNANDO,2008,Florida,1.1434,7.0,7,True,False
FL,HERNANDO,2009,Florida,1.4251,7.0,7,True,False
FL,HERNANDO,2010,Florida,1.9174,7.0,7,True,True
FL,HERNANDO,2011,Florida,1.3844,7.0,7,True,True
FL,HERNANDO,2012,Florida,0.9446,7.0,7,True,True
FL,HIGHLANDS,2006,Florida,0.2352,7.0,7,True,False
FL,HIGHLANDS,2007,Florida,0.2471,7.0,7,True,False
FL,HIGHLANDS,2008,Florida,0.2874,7.0,7,True,False
FL,HIGHLANDS,2009,Florida,0.3408,7.0,7,True,False
FL,HIGHLANDS,2010,Florida,0.4629,7.0,7,True,True
FL,HIGHLANDS,2011,Florida,0.55,7.0,7,True,True
FL,HIGHLANDS,2012,Florida,0.4179,7.0,7,True,True
FL,HILLSBOROUGH,2006,Florida,0.877,7.0,7,True,False
FL,HILLSBOROUGH,2007,Florida,1.0041,7.0,7,True,False
FL,HILLSBOROUGH,2008,Florida,1.26,7.0,7,True,False
FL,HILLSBOROUGH,2009,Florida,1.7496,7.0,7,True,False
FL,HILLSBOROUGH,2010,Florida,2.2791,7.0,7,True,True
FL,HILLSBOROUGH,2011,Florida,1.2213,7.0,7,True,True
FL,HILLSBOROUGH,2012,Florida,0.6686,7.0,7,True,True
FL,HOLMES,2006,Florida,0.258,7.0,7,True,False
FL,HOLMES,2007,Florida,0.2696,7.0,7,True,False
FL,HOLMES,2008,Florida,0.2656,7.0,7,True,False
FL,HOLMES,2009,Florida,0.2711,7.0,7,True,False
FL,HOLMES,2010,Florida,0.2511,7.0,7,True,True
FL,HOLMES,2011,Florida,0.2615,7.0,7,True,True
FL,HOLMES,2012,Florida,0.2773,7.0,7,True,True
FL,INDIAN RIVER,2006,Florida,0.3289,7.0,7,True,False
FL,INDIAN RIVER,2007,Florida,0.3842,7.0,7,True,False
FL,INDIAN RIVER,2008,Florida,0.471,7.0,7,True,False
FL,INDIAN RIVER,2009,Florida,0.5782,7.0,7,True,False
FL,INDIAN RIVER,2010,Florida,0.8101,7.0,7,True,True
FL,INDIAN RIVER,2011,Florida,1.0148,7.0,7,True,True
FL,INDIAN RIVER,2012,Florida,0.7042,7.0,7,True,True
FL,JACKSON,2006,Florida,0.2044,7.0,7,True,False
FL,JACKSON,2007,Florida,0.2348,7.0,7,True,False
FL,JACKSON,2008,Florida,0.2413,7.0,7,True,False
FL,JACKSON,2009,Florida,0.2665,7.0,7,True,False
FL,JACKSON,2010,Florida,0.2987,7.0,7,True,True
FL,JACKSON,2011,Florida,0.3351,7.0,7,True,True
FL,JACKSON,2012,Florida,0.3549,7.0,7,True,True
FL,JEFFERSON,2006,Florida,0.1013,7.0,7,True,False
FL,JEFFERSON,2007,Florida,0.1204,7.0,7,True,False
FL,JEFFERSON,2008,Florida,0.1454,7.0,7,True,False
FL,JEFFERSON,2009,Florida,0.1641,7.0,7,True,False
FL,JEFFERSON,2010,Florida,0.1787,7.0,7,True,True
FL,JEFFERSON,2011,Florida,0.1943,7.0,7,True,True
FL,JEFFERSON,2012,Florida,0.1557,7.0,7,True,True
FL,LAFAYETTE,2006,Florida,0.1458,7.0,7,True,False
FL,LAFAYETTE,2007,Florida,0.1614,7.0,7,True,False
FL,LAFAYETTE,2008,Florida,0.1608,7.0,7,True,False
FL,LAFAYETTE,2009,Florida,0.1491,7.0,7,True,False
FL,LAFAYETTE,2010,Florida,0.1537,7.0,7,True,True
FL,LAFAYETTE,2011,Florida,0.1486,7.0,7,True,True
FL,LAFAYETTE,2012,Florida,0.1473,7.0,7,True,True
FL,LAKE,2006,Florida,0.2295,7.0,7,True,False
FL,LAKE,2007,Florida,0.2835,7.0,7,True,False
FL,LAKE,2008,Florida,0.3532,7.0,7,True,False
FL,LAKE,2009,Florida,0.4763,7.0,7,True,False
FL,LAKE,2010,Florida,0.5966,7.0,7,True,True
FL,LAKE,2011,Florida,0.5959,7.0,7,True,True
FL,LAKE,2012,Florida,0.5153,7.0,7,True,True
FL,LEE,2006,Florida,0.5318,7.0,7,True,False
FL,LEE,2007,Florida,0.4889,7.0,7,True,False
FL,LEE,2008,Florida,0.5576,7.0,7,True,False
FL,LEE,2009,Florida,0.7185,7.0,7,True,False
FL,LEE,2010,Florida,1.0992,7.0,7,True,True
FL,LEE,2011,Florida,0.9303,7.0,7,True,True
FL,LEE,2012,Florida,0.4225,7.0,7,True,True
FL,LEON,2006,Florida,0.1637,7.0,7,True,False
FL,LEON,2007,Florida,0.1753,7.0,7,True,False
FL,LEON,2008,Florida,0.1885,7.0,7,True,False
FL,LEON,2009,Florida,0.2047,7.0,7,True,False
FL,LEON,2010,Florida,0.2043,7.0,7,True,True
FL,LEON,2011,Florida,0.2087,7.0,7,True,True
FL,LEON,2012,Florida,0.2161,7.0,7,True,True
FL,LEVY,2006,Florida,0.473,7.0,7,True,False
FL,LEVY,2007,Florida,0.555,7.0,7,True,False
FL,LEVY,2008,Florida,0.6954,7.0,7,True,False
FL,LEVY,2009,Florida,0.8251,7.0,7,True,False
FL,LEVY,2010,Florida,0.8983,7.0,7,True,True
FL,LEVY,2011,Florida,0.8982,7.0,7,True,True
FL,LEVY,2012,Florida,0.7087,7.0,7,True,True
FL,LIBERTY,2006,Florida,0.0784,7.0,7,True,False
FL,LIBERTY,2007,Florida,0.091,7.0,7,True,False
FL,LIBERTY,2008,Florida,0.0928,7.0,7,True,False
FL,LIBERTY,2009,Florida,0.0822,7.0,7,True,False
FL,LIBERTY,2010,Florida,0.1365,7.0,7,True,True
FL,LIBERTY,2011,Florida,0.0995,7.0,7,True,True
FL,LIBERTY,2012,Florida,0.0921,7.0,7,True,True
FL,MADISON,2006,Florida,0.12,7.0,7,True,False
FL,MADISON,2007,Florida,0.1362,7.0,7,True,False
FL,MADISON,2008,Florida,0.1444,7.0,7,True,False
FL,MADISON,2009,Florida,0.1754,7.0,7,True,False
FL,MADISON,2010,Florida,0.2095,7.0,7,True,True
FL,MADISON,2011,Florida,0.2427,7.0,7,True,True
FL,MADISON,2012,Florida,0.2374,7.0,7,True,True
FL,MANATEE,2006,Florida,0.4787,7.0,7,True,False
FL,MANATEE,2007,Florida,0.545,7.0,7,True,False
FL,MANATEE,2008,Florida,0.6172,7.0,7,True,False
FL,MANATEE,2009,Florida,0.7118,7.0,7,True,False
FL,MANATEE,2010,Florida,1.118,7.0,7,True,True
FL,MANATEE,2011,Florida,0.9978,7.0,7,True,True
FL,MANATEE,2012,Florida,0.6569,7.0,7,True,True
FL,MARION,2006,Florida,0.3611,7.0,7,True,False
FL,MARION,2007,Florida,0.4304,7.0,7,True,False
FL,MARION,2008,Florida,0.4848,7.0,7,True,False
FL,MARION,2009,Florida,0.538,7.0,7,True,False
FL,MARION,2010,Florida,0.6541,7.0,7,True,True
FL,MARION,2011,Florida,0.6305,7.0,7,True,True
FL,MARION,2012,Florida,0.5263,7.0,7,True,True
FL,MARTIN,2006,Florida,0.4836,7.0,7,True,False
FL,MARTIN,2007,Florida,0.5371,7.0,7,True,False
FL,MARTIN,2008,Florida,0.6868,7.0,7,True,False
FL,MARTIN,2009,Florida,0.837,7.0,7,True,False
FL,MARTIN,2010,Florida,1.0244,7.0,7,True,True
FL,MARTIN,2011,Florida,0.9268,7.0,7,True,True
FL,MARTIN,2012,Florida,0.5711,7.0,7,True,True
FL,MIAMI-DADE,2006,Florida,0.126,7.0,7,True,False
FL,MIAMI-DADE,2007,Florida,0.1546,7.0,7,True,False
FL,MIAMI-DADE,2008,Florida,0.2133,7.0,7,True,False
FL,MIAMI-DADE,2009,Florida,0.3255,7.0,7,True,False
FL,MIAMI-DADE,2010,Florida,0.4978,7.0,7,True,True
FL,MIAMI-DADE,2011,Florida,0.4207,7.0,7,True,True
FL,MIAMI-DADE,2012,Florida,0.1953,7.0,7,True,True
FL,MONROE,2006,Florida,0.5719,7.0,7,True,False
FL,MONROE,2007,Florida,0.6348,7.0,7,True,False
FL,MONROE,2008,Florida,0.7349,7.0,7,True,False
FL,MONROE,2009,Florida,0.9827,7.0,7,True,False
FL,MONROE,2010,Florida,1.0577,7.0,7,True,True
FL,MONROE,2011,Florida,0.9615,7.0,7,True,True
FL,MONROE,2012,Florida,0.6413,7.0,7,True,True
FL,NASSAU,2006,Florida,0.388,7.0,7,True,False
FL,NASSAU,2007,Florida,0.434,7.0,7,True,False
FL,NASSAU,2008,Florida,0.5358,7.0,7,True,False
FL,NASSAU,2009,Florida,0.6263,7.0,7,True,False
FL,NASSAU,2010,Florida,0.7507,7.0,7,True,True
FL,NASSAU,2011,Florida,0.8707,7.0,7,True,True
FL,NASSAU,2012,Florida,0.8101,7.0,7,True,True
FL,OKALOOSA,2006,Florida,0.2812,7.0,7,True,False
FL,OKALOOSA,2007,Florida,0.2844,7.0,7,True,False
FL,OKALOOSA,2008,Florida,0.2965,7.0,7,True,False
FL,OKALOOSA,2009,Florida,0.3206,7.0,7,True,False
FL,OKALOOSA,2010,Florida,0.3399,7.0,7,True,True
FL,OKALOOSA,2011,Florida,0.3481,7.0,7,True,True
FL,OKALOOSA,2012,Florida,0.3397,7.0,7,True,True
FL,OKEECHOBEE,2006,Florida,0.52,7.0,7,True,False
FL,OKEECHOBEE,2007,Florida,0.6256,7.0,7,True,False
FL,OKEECHOBEE,2008,Florida,0.7303,7.0,7,True,False
FL,OKEECHOBEE,2009,Florida,0.8999,7.0,7,True,False
